stage,ridge_weight,elasticnet_weight,rmse,mae,r2,ic_mean,ic_std,icir,ic_pct_positive,portfolio_mean_return,portfolio_volatility,portfolio_cumulative_return,portfolio_sharpe,portfolio_max_drawdown,portfolio_turnover_avg,portfolio_num_periods
validation,0.4,0.6,0.03613938892558275,0.026539141442833803,0.003263792516160713,0.06492074064570669,0.20172062345059755,0.321834919678434,0.572,0.006332594131752991,0.02320488712215716,0.3534446791907049,1.96790380651636,-0.08012080220682227,2.468,50.0
test,0.4,0.6,0.03736166514651878,0.026597376039993337,0.003280635717338054,0.02394799161349684,0.20428431686019258,0.11722873288352471,0.5609756097560976,0.004339669593354081,0.031800692078857475,0.21138915782996381,0.9840604222455184,-0.15053389932009076,1.7839999999999998,50.0
